treatment,maxneg,maxneggene,smaxneg,smaxneggene,smaxpos,smaxposgene,maxpos,maxposgene
BRD-A99727719:3.333 uM:1,-0.260073570081686,SMARCE1P7 (ENSG00000270973),-0.216963711777176,RN7SKP238 (ENSG00000252292),0.203908685104508,AL022578.1 (ENSG00000229968),0.208328336695967,AL451142.2 (ENSG00000229288)
BRD-K04264377:1.111 uM:1,-0.303941295449992,AC004006.1 (ENSG00000228711),-0.29321748237198,AL133166.1 (ENSG00000257522),0.220438343344816,AIFM2 (ENSG00000042286),0.290894061089675,C9orf3 (ENSG00000148120)
BRD-K91224798:3.333 uM:1,-0.25881339384753,AC068587.3 (ENSG00000255253),-0.222769933582224,PRR5 (ENSG00000186654),0.270058827021967,ARHGAP22 (ENSG00000128805),0.298770852925204,RUNX2 (ENSG00000124813)
BRD-K00030538:3.333 uM:1,-0.23076522602569,AC068254.2 (ENSG00000279221),-0.227205360576804,OR6C64P (ENSG00000234670),0.14825643781182,PSMD6-AS1 (ENSG00000243410),0.153006770235257,PMS2P11 (ENSG00000241350)
BRD-A92883443:10 uM:1,-0.244745411954531,PSMA8 (ENSG00000154611),-0.23316601540203,GDPD2 (ENSG00000130055),0.184803141279697,CD84 (ENSG00000066294),0.195078648348016,AC079298.3 (ENSG00000280241)
BRD-K00040214:1.111 uM:1,-0.205884401051518,LINC00290 (ENSG00000248197),-0.195141619981278,LINC02053 (ENSG00000241696),0.171362248100824,EEF1A1P36 (ENSG00000223912),0.189839594402165,EEF1GP6 (ENSG00000216518)
BRD-K70077389:1.111 uM:1,-0.222956241319106,VN1R65P (ENSG00000260883),-0.214443906872139,AC125232.1 (ENSG00000231259),0.192639959785959,AC011816.1 (ENSG00000234073),0.225499015766395,AL357054.4 (ENSG00000272463)
BRD-K35566313:3.333 uM:1,-0.293838091893572,KRT43P (ENSG00000236473),-0.287599030470399,FABP1 (ENSG00000163586),0.190772465292763,SPARC (ENSG00000113140),0.201692178759985,GRAMD1A (ENSG00000089351)
BRD-A41205887:3.333 uM:1,-0.283240060491943,SMARCE1P7 (ENSG00000270973),-0.23939212907692,ERVFRD-1 (ENSG00000244476),0.184133337103968,FRMPD3-AS1 (ENSG00000227610),0.187010758779204,AC090373.1 (ENSG00000279354)
BRD-A06871175:3.333 uM:1,-0.251922314707868,NPM1P36 (ENSG00000214604),-0.244670298819525,AL137100.1 (ENSG00000258758),0.169114416264613,AC078883.1 (ENSG00000225205),0.175091185554356,NCR1 (ENSG00000189430)
BRD-A26895417:1.111 uM:1,-0.193544562708305,AF130417.1 (ENSG00000227330),-0.192390603365754,AL049829.2 (ENSG00000259018),0.192675131430649,AC112496.1 (ENSG00000241886),0.19505375118812,SAT1 (ENSG00000130066)
BRD-K20653598:3.333 uM:1,-0.229942105093073,TEX50 (ENSG00000232113),-0.203370840662572,METTL15P3 (ENSG00000224396),0.158865031757546,AC027796.1 (ENSG00000261916),0.171749080567544,PAQR5 (ENSG00000137819)
BRD-K25223096:1.667 uM:1,-0.22874104919053,RHOXF1P1 (ENSG00000234493),-0.207323134590476,CEBPA-DT (ENSG00000267296),0.249711690829987,DCBLD2 (ENSG00000057019),0.270768655527322,PLAUR (ENSG00000011422)
BRD-K77770209:1.111 uM:1,-0.204799818719766,AC092810.3 (ENSG00000232537),-0.193029610879855,AP000851.2 (ENSG00000281655),0.177456977501938,RF00017 (ENSG00000274216),0.180165002461368,AC005154.1 (ENSG00000226874)
BRD-K07285786:10 uM:1,-0.233099359901787,AC134026.1 (ENSG00000279305),-0.228619105293829,CA14 (ENSG00000118298),0.215624040943075,HRH1 (ENSG00000196639),0.246553722234483,AC083855.2 (ENSG00000285906)
BRD-A49342974:1.667 uM:1,-0.260858268035647,TRH (ENSG00000170893),-0.244902534352084,AC239367.1 (ENSG00000227493),0.192858079103003,PFKP (ENSG00000067057),0.19603628312605,TSPO (ENSG00000100300)
BRD-A11641460:1.111 uM:1,-0.217859388523793,C7orf66 (ENSG00000205174),-0.213825759497592,AC092850.1 (ENSG00000279746),0.19385281822609,AC245123.1 (ENSG00000277526),0.196246667086352,CAMK2D (ENSG00000145349)
BRD-K78571333:1.111 uM:1,-0.268905648097724,AC012468.1 (ENSG00000271353),-0.258814628367083,OR7E145P (ENSG00000235855),0.189591242612732,CLDN2 (ENSG00000165376),0.197256318229146,RTN4 (ENSG00000115310)
BRD-K65383492:3.333 uM:1,-0.252070939324083,AC116003.3 (ENSG00000276993),-0.245180580673597,AC125421.2 (ENSG00000265927),0.200365570862364,CHRNG (ENSG00000196811),0.225772602848884,ADGRA1 (ENSG00000197177)
BRD-K45132006:1.111 uM:1,-0.352570959693338,PRRT1B (ENSG00000283526),-0.348032272216244,AC020978.4 (ENSG00000261469),0.29540024630048,GSTP1 (ENSG00000084207),0.334623044622453,MSN (ENSG00000147065)
BRD-K61545272:3.333 uM:1,-0.210335425481243,AC004160.2 (ENSG00000230435),-0.207037448070754,SAG (ENSG00000130561),0.155989259516285,AC005342.1 (ENSG00000203593),0.163794450886816,RN7SL591P (ENSG00000240940)
